,codigo,nombre,hdi_change,poverty_change,unemp_change,Overall Improvement
8,9,Buenos Aires,,-15.705931495405185,63.04654442877293,23.670306466683876
9,10,La Candelaria,,23.64217252396167,7.1345029239766005,15.388337723969135
13,14,El Poblado,,-2.608695652173896,26.633165829145728,12.012235088485916
5,6,Doce de Octubre,,-12.455089820359284,34.084507042253506,10.814708610947111
19,80,San Antonio de Prado,,7.942708333333326,,7.942708333333326
7,8,Villa Hermosa,,-24.562394127611526,37.446351931330476,6.441978901859475
3,4,Aranjuez,,-46.802325581395344,51.991614255765214,2.594644337184935
6,7,Robledo,,-11.612364243943194,15.263748597081925,1.8256921765693654
0,1,Popular,,-43.23296354992076,43.46689895470382,0.11696770239153054
12,13,San Javier,,-20.989974937343366,18.219461697722565,-1.3852566198104004
14,15,Guayabal,,3.0063291139240427,-6.483790523690767,-1.7387307048833622
15,16,Belén,,10.778443113772457,-19.077568134171905,-4.149562510199724
4,5,Castilla,,-46.14572333685323,31.688311688311693,-7.228705824270769
2,3,Manrique,,-31.866383881230114,14.858705560619862,-8.503839160305127
1,2,Santa Cruz,,-51.84233076263924,25.46916890080429,-13.186580930917476
20,90,Santa Elena,,-27.204267336052716,,-27.204267336052716
17,60,San Cristóbal,,-29.061553985872855,,-29.061553985872855
10,11,Laureles Estadio,,-59.174311926605505,-3.153153153153153,-31.16373253987933
11,12,La América,,-80.63829787234043,-16.927453769559037,-48.782875820949734
16,50,San Sebastián de Palmitas,,-51.237785016286644,,-51.237785016286644
18,70,Altavista,,-80.59286706808707,,-80.59286706808707
