OBJECTID,Shape,codigo,nombre,i_2014,i_2015,i_2016,i_2017,i_2018,i_2019,i_2020,i_2021,i_2022,i_2023,Shape_Length,Shape_Area
1,"(4718611.922461629, 2254112.982707406)",01,Popular,31.55,14.19,23.46,27.74,24.77,22.41,,25.24,17.91,27.68,9604.448561523164,3097940.950849382
2,"(4717471.901360827, 2254648.3111255593)",02,Santa Cruz,23.34,17.92,23.05,25.11,22.44,16.66,,21.63,11.24,24.37,8597.294373605435,2195662.601386407
3,"(4718479.607630689, 2251852.4937053234)",03,Manrique,18.86,20.84,17.95,24.63,23.07,17.84,,16.23,12.85,23.41,12077.5591324662,5096182.230156728
4,"(4716680.291627194, 2252195.0294205956)",04,Aranjuez,17.2,16.16,15.86,19.65,13.52,13.94,,11.34,9.15,13.3,9642.676543479753,4883314.087520373
5,"(4715903.412076725, 2253981.9996353034)",05,Castilla,9.47,9.72,4.9,11.32,10.95,7.54,,5.78,5.1,12.45,16098.03210800692,6063915.514971976
6,"(4714743.451115304, 2254761.3938639592)",06,Doce de Octubre,16.7,18.46,10.95,14.4,16.6,13.28,,13.57,14.62,10.01,10709.846407300312,3849812.0727601973
7,"(4713275.71134015, 2252410.4420975056)",07,Robledo,11.97,14.67,10.07,14.58,13.24,8.93,,10.75,10.58,10.32,23265.233431348748,9462007.704047674
8,"(4718584.283001129, 2249006.5964515195)",08,Villa Hermosa,17.71,16.4,21.92,20.28,15.71,17.48,,16.29,13.36,15.54,16392.858844819497,5716967.861815598
9,"(4717615.2868070705, 2247244.7482453715)",09,Buenos Aires,11.97,8.96,9.78,11.92,4.37,9.4,,8.52,10.09,7.35,18364.90299510415,6052668.286001971
10,"(4715944.532195215, 2249048.1243153503)",10,La Candelaria,6.26,8.1,7.54,11.51,8.4,9.83,,11.11,7.74,5.55,13632.701394923215,7360811.029417884
11,"(4713343.505881916, 2249368.142262306)",11,Laureles Estadio,2.18,2.35,2.96,1.55,2.31,1.6,,4.85,0.89,3.28,16365.175496146,7402669.301326557
12,"(4711800.387879477, 2249823.2178688487)",12,La América,4.7,2.51,2.98,4.68,4.56,2.86,,4.92,0.91,1.29,15425.495027124889,3973306.9584038733
13,"(4710446.833375132, 2250061.46529047)",13,San Javier,15.96,18.15,15.94,13.45,12.81,12.41,,18.64,12.61,12.73,26384.22054676626,4849278.874958561
14,"(4716105.141389329, 2243895.5048197634)",14,El Poblado,1.15,1.13,1.48,0.82,1.59,0.37,,2.97,1.12,2.35,19965.687059117798,14414322.82772217
15,"(4713893.91312301, 2245262.804141909)",15,Guayabal,6.32,11.8,11.0,11.23,5.02,7.99,,11.1,6.51,5.64,13279.243204644288,7288420.726785111
16,"(4712464.646424875, 2246614.0744316597)",16,Belén,5.01,4.7,6.02,8.09,4.34,6.65,,11.52,5.55,4.97,25695.016634207837,8856232.001394011
17,"(4702567.6733262185, 2257955.7318096347)",50,San Sebastián de Palmitas,30.7,39.96,21.34,17.13,17.76,20.5,,19.24,14.97,16.47,38399.21195236707,57799202.50778169
18,"(4708034.050193128, 2253812.2220230075)",60,San Cristóbal,19.82,18.83,16.13,17.42,18.78,16.31,,21.22,14.06,12.77,51162.61742571545,54112792.242404774
19,"(4708517.330020405, 2246822.6598185324)",70,Altavista,21.59,24.98,15.84,15.64,20.66,22.9,,19.16,4.19,14.82,35012.58288575261,28725783.28352506
20,"(4704270.352085299, 2245613.063627898)",80,San Antonio de Prado,7.68,11.48,10.07,14.55,5.73,5.44,,15.77,8.29,13.4,40472.28393637327,60567771.68704203
21,"(4721626.544324636, 2247611.5894908938)",90,Santa Elena,31.87,23.83,25.4,21.07,22.78,16.71,,13.81,23.2,18.16,66527.05396435653,74114152.89082207
